Nome,Sexo,Idade,Profissao,Salario,EC
Gustavo,M,18.0,Gerente de Vendas,7700.5,Solteiro
Guilherme,M,19.0,Engenheiro,12018.55,Divorciado
Carla,F,18.0,Diretor (CTO),6630.48,Casado
Felipe,F,18.0,Gerente de Vendas,6276.36,Solteiro
Gabriela,F,18.0,Gerente,21865.19,Divorciado
Fernanda,M,18.0,Gerente,17484.55,Divorciado
Maria,F,18.0,Gerente,16004.65,Divorciado
Luciana,M,19.0,Diretor (CTO),8072.13,Solteiro
Luiz,M,19.0,Dentista,20376.22,Divorciado
Diego,M,19.0,Diretor Executivo (CEO),4593.77,Divorciado
Vanessa,M,,Programador,8735.27,Viúvo
João,F,18.0,Arquiteto,15424.39,Casado
José,M,,Gerente de Vendas,3350.17,Viúvo
Aline,F,18.0,Médico,10971.69,Solteiro
Camila,F,18.0,Dentista,13262.15,Viúvo
Aline,F,18.0,Diretor Executivo (CEO),12994.3,Divorciado
Marcia,M,18.0,Advogado,13682.23,Divorciado
Larissa,F,19.0,Analista de Sistemas,16985.54,Viúvo
Beatriz,M,19.0,Arquiteto,21594.99,Viúvo
Leonardo,M,19.0,Veterinário,19101.97,Casado
Gustavo,M,19.0,Programador,6976.48,Viúvo
Lucas,F,19.0,Gerente de Vendas,6722.02,Viúvo
Amanda,F,18.0,Médico,21968.31,Casado
Matheus,M,,Gerente de TI,4233.17,Divorciado
Jessica,M,19.0,Cientista de Dados,21762.69,Divorciado
Patricia,F,18.0,Engenheiro de Petróleo,6112.95,Viúvo
Vanessa,F,19.0,Programador,12983.6,Viúvo
Thiago,F,,Dentista,16358.12,Casado
Marcia,F,19.0,Veterinário,12495.93,Viúvo
Marcos,F,19.0,Gerente de Vendas,12636.89,Viúvo
Luana,M,18.0,Gerente,3143.55,Divorciado
Claudia,M,18.0,Diretor Executivo (CEO),16416.43,Casado
Claudia,M,18.0,Cientista de Dados,10256.61,Viúvo
Matheus,M,19.0,Diretor Executivo (CEO),19615.95,Viúvo
Matheus,M,19.0,Piloto,20050.73,Solteiro
Lucas,M,,Farmacêutico,6698.62,Solteiro
Lucas,F,,Cientista de Dados,4741.0,Casado
Jose,F,18.0,Gerente,22096.48,Viúvo
Antonio,M,19.0,Veterinário,19516.17,Divorciado
Pedro,M,,Engenheiro,12168.81,Casado
Carla,F,19.0,Gerente,6692.85,Divorciado
Fabiana,M,19.0,Consultor,8533.01,Casado
Francisca,M,18.0,Gerente,22835.69,Solteiro
Claudia,F,,Piloto,13304.09,Divorciado
Francisca,M,,Cientista de Dados,21376.35,Viúvo
Felipe,M,18.0,Médico,6534.61,Solteiro
Bruno,M,19.0,Engenheiro de Petróleo,9810.22,Divorciado
Fernanda,F,,Engenheiro de Petróleo,5133.02,Solteiro
Fernanda,M,,Gerente de Vendas,5484.0,Casado
Luciana,M,19.0,Engenheiro,18481.55,Divorciado
Patricia,F,19.0,Gerente de Vendas,22658.94,Solteiro
Paulo,M,,Consultor,5541.96,Viúvo
Diego,F,19.0,Veterinário,13427.8,Solteiro
Gabriel,F,19.0,Gerente de Vendas,20657.7,Solteiro
Jessica,F,,Gerente,15907.79,Solteiro
Ricardo,F,18.0,Veterinário,11801.58,Divorciado
Marcos,F,18.0,Dentista,19392.86,Divorciado
Claudia,F,18.0,Consultor,4910.64,Divorciado
Bruna,F,18.0,Cientista de Dados,19200.88,Divorciado
Adriana,M,,Gerente,19601.6,Viúvo
Daniel,F,,Cientista de Dados,14991.5,Divorciado
Marcia,F,19.0,Gerente de Vendas,10336.91,Divorciado
Amanda,F,19.0,Veterinário,6271.33,Viúvo
Beatriz,M,19.0,Engenheiro,12800.87,Viúvo
Claudia,M,18.0,Consultor,14957.65,Solteiro
Ricardo,M,18.0,Analista de Sistemas,8689.45,Viúvo
Marcia,M,19.0,Diretor Executivo (CEO),5024.21,Divorciado
Gabriela,M,19.0,Engenheiro,22620.81,Divorciado
Jessica,M,19.0,Programador,22459.41,Divorciado
Patricia,M,18.0,Consultor,3014.8,Casado
Amanda,F,19.0,Arquiteto,3689.72,Viúvo
Antonio,M,19.0,Farmacêutico,11317.78,Casado
Ana Paula,M,18.0,Diretor Executivo (CEO),5425.97,Casado
Fernanda,F,18.0,Dentista,10772.05,Viúvo
Lucas,F,,Diretor Executivo (CEO),22647.69,Divorciado
Luiz,M,18.0,Gerente de Vendas,14863.81,Casado
João,F,,Engenheiro,18537.07,Solteiro
Fatima,F,18.0,Médico,22580.5,Viúvo
Eduardo,M,18.0,Diretor Executivo (CEO),4371.02,Solteiro
Carlos,F,18.0,Arquiteto,14297.95,Viúvo
Matheus,F,19.0,Cientista de Dados,12619.88,Solteiro
Maria,M,19.0,Engenheiro,4714.6,Casado
Paulo,F,18.0,Engenheiro,16148.31,Viúvo
Luciana,M,19.0,Veterinário,20842.53,Solteiro
Maria,M,19.0,Farmacêutico,15817.56,Casado
Thiago,F,18.0,Advogado,11748.77,Divorciado
Bruno,F,18.0,Piloto,18056.85,Solteiro
Felipe,F,18.0,Gerente,22861.66,Viúvo
Bruna,F,19.0,Diretor (CTO),13379.78,Solteiro
Claudia,F,18.0,Gerente,14883.68,Casado
Vanessa,F,18.0,Programador,12961.09,Viúvo
Guilherme,M,19.0,Arquiteto,20452.54,Viúvo
Luciana,M,19.0,Consultor,19676.28,Viúvo
Leonardo,M,19.0,Gerente de TI,13043.45,Viúvo
Mariana,M,18.0,Engenheiro de Petróleo,3280.69,Solteiro
Fatima,F,19.0,Diretor (CTO),9893.87,Divorciado
Claudia,F,18.0,Gerente,18313.16,Viúvo
Jose,F,18.0,Gerente de TI,14841.68,Casado
Leonardo,M,,Gerente de TI,,Viúvo
Larissa,F,18.0,Arquiteto,6822.83,Casado
Diego,F,,Gerente,10984.0,Divorciado
Felipe,M,,Gerente de TI,13124.96,Solteiro
Ana Paula,F,,Farmacêutico,4668.58,Casado
Carla,M,18.0,Farmacêutico,15647.16,Viúvo
Adriana,F,,Gerente,18210.21,Divorciado
Francisca,M,18.0,Engenheiro de Petróleo,22946.47,Viúvo
Rafael,F,,Médico,11062.52,Casado
Juliana,M,18.0,Gerente,13565.36,Casado
Gabriel,M,19.0,Gerente de TI,8209.74,Solteiro
Luciana,F,19.0,Engenheiro,20622.04,Solteiro
Camila,F,18.0,Médico,17583.77,Solteiro
Beatriz,F,,Gerente de TI,13718.8,Viúvo
Luciana,F,19.0,Engenheiro,21929.43,Solteiro
Rodrigo,M,18.0,Gerente de Vendas,20838.24,Divorciado
Jose,M,18.0,Arquiteto,3371.51,Divorciado
Carla,M,18.0,Piloto,8386.34,Divorciado
Marcia,F,19.0,Piloto,8041.64,Casado
Raquel,M,18.0,Veterinário,10432.35,Solteiro
Marcia,F,19.0,Programador,16538.5,Divorciado
Ana Paula,M,18.0,Veterinário,20287.45,Casado
Fabiana,F,18.0,Gerente,7326.01,Viúvo
Fernando,F,19.0,Veterinário,17618.49,Viúvo
Gabriel,M,19.0,Piloto,21160.08,Casado
Aline,M,19.0,Advogado,7766.0,Divorciado
Paula,F,19.0,Diretor (CTO),12743.47,Casado
Amanda,M,18.0,Advogado,11544.57,Viúvo
Luana,M,19.0,Gerente,22696.02,Viúvo
Marcelo,M,18.0,Gerente,4897.06,Divorciado
Marcos,F,,Analista de Sistemas,3353.15,Viúvo
Sandra,F,,Veterinário,10897.04,Casado
Claudia,F,,Gerente,18191.34,Viúvo
José,M,19.0,Dentista,9434.64,Divorciado
Beatriz,M,18.0,Engenheiro de Petróleo,11152.57,Divorciado
Eliane,M,18.0,Piloto,17904.12,Solteiro
Diego,F,18.0,Diretor Executivo (CEO),18972.86,Solteiro
Jose,F,19.0,Médico,13250.62,Casado
Mariana,F,19.0,Veterinário,9640.44,Casado
Marcelo,F,19.0,Veterinário,10914.0,Casado
Eduardo,F,18.0,Diretor (CTO),21532.58,Divorciado
Camila,F,19.0,Gerente,10480.63,Solteiro
Claudia,M,18.0,Farmacêutico,8282.24,Solteiro
Leonardo,F,19.0,Piloto,20732.17,Divorciado
Luana,M,18.0,Advogado,14916.57,Viúvo
Aline,F,19.0,Gerente de TI,22534.11,Viúvo
Gabriel,M,18.0,Piloto,11451.99,Casado
Luiz,M,,Veterinário,17277.9,Casado
Vanessa,M,18.0,Gerente,22246.0,Divorciado
Camila,M,18.0,Farmacêutico,21746.0,Solteiro
Luana,F,19.0,Engenheiro,15741.61,Casado
Jose,M,19.0,Veterinário,20537.4,Divorciado
Francisco,F,18.0,Gerente de Vendas,17744.94,Casado
Sandra,F,18.0,Piloto,22230.42,Divorciado
Luciana,F,19.0,Médico,6993.09,Casado
Rodrigo,F,,Consultor,12605.26,Viúvo
Francisco,M,18.0,Médico,6920.28,Divorciado
Sandra,M,18.0,Dentista,13284.62,Casado
Marcia,M,18.0,Arquiteto,4836.39,Viúvo
Diego,M,18.0,Veterinário,13369.84,Solteiro
Eduardo,F,18.0,Dentista,6791.44,Casado
Rodrigo,M,18.0,Farmacêutico,9059.66,Divorciado
Anderson,M,18.0,Veterinário,16704.52,Casado
Felipe,F,18.0,Diretor (CTO),5501.95,Divorciado
Renata,F,18.0,Advogado,8319.71,Viúvo
Gustavo,M,18.0,Piloto,12912.98,Viúvo
Guilherme,F,19.0,Diretor (CTO),16379.04,Solteiro
Raquel,M,,Diretor (CTO),7113.82,Casado
Sandra,F,,Gerente de Vendas,17585.83,Solteiro
Renata,M,18.0,Gerente de Vendas,22793.01,Viúvo
Francisco,M,18.0,Médico,6834.19,Viúvo
Anderson,M,,Advogado,5074.14,Casado
Aline,F,19.0,Gerente de Vendas,14492.58,Divorciado
Gabriel,F,19.0,Veterinário,4868.73,Divorciado
Beatriz,M,,Arquiteto,3369.96,Casado
Larissa,M,19.0,Médico,5706.78,Solteiro
Leandro,M,18.0,Advogado,18155.52,Solteiro
Rodrigo,M,18.0,Farmacêutico,11285.35,Viúvo
Sandra,F,19.0,Gerente,21087.37,Casado
Matheus,M,18.0,Arquiteto,22581.41,Viúvo
Luiz,F,19.0,Diretor Executivo (CEO),8020.07,Solteiro
Sandra,F,18.0,Médico,21413.56,Divorciado
Luana,M,19.0,Analista de Sistemas,7313.9,Viúvo
Jessica,F,18.0,Gerente de TI,13576.57,Viúvo
Mariana,F,19.0,Farmacêutico,16778.84,Divorciado
Lucas,M,,Piloto,10319.16,Viúvo
José,M,18.0,Farmacêutico,4359.54,Divorciado
Carla,F,19.0,Engenheiro de Petróleo,9375.04,Solteiro
Patricia,M,18.0,Cientista de Dados,3236.98,Casado
Diego,F,19.0,Cientista de Dados,6856.83,Viúvo
Lucas,F,18.0,Gerente de Vendas,4225.37,Viúvo
Jessica,M,19.0,Engenheiro de Petróleo,15876.84,Casado
Marcia,F,19.0,Cientista de Dados,21856.35,Casado
José,M,18.0,Gerente,12849.05,Viúvo
Eduardo,M,19.0,Gerente de Vendas,10421.56,Solteiro
Eduardo,F,19.0,Gerente,13271.55,Casado
Thiago,M,,Diretor (CTO),15413.87,Viúvo
Bruno,F,,Cientista de Dados,7771.21,Divorciado
Beatriz,F,19.0,Gerente,9489.57,Casado
Fabiana,F,,Gerente,20752.55,Viúvo
Diego,F,18.0,Engenheiro,13199.31,Casado
Gabriel,M,19.0,Cientista de Dados,12446.11,Casado
Rodrigo,M,18.0,Diretor (CTO),13743.68,Solteiro
Marcos,F,19.0,Analista de Sistemas,17074.71,Viúvo
Francisco,F,19.0,Engenheiro de Petróleo,10567.18,Viúvo
Beatriz,M,,Programador,9882.65,Casado
Daniel,F,,Farmacêutico,22925.72,Solteiro
Ricardo,F,18.0,Diretor (CTO),21834.19,Viúvo
Gustavo,M,19.0,Veterinário,5703.73,Divorciado
Guilherme,M,19.0,Advogado,8322.92,Solteiro
Raquel,F,,Gerente,10168.78,Divorciado
Felipe,F,19.0,Diretor (CTO),9358.98,Solteiro
Carla,F,18.0,Gerente,8671.31,Casado
Fernanda,F,19.0,Gerente,10458.63,Casado
Rafael,F,19.0,Piloto,20200.47,Solteiro
Francisco,F,18.0,Consultor,14027.5,Solteiro
Carlos,M,18.0,Dentista,13625.88,Viúvo
Marcos,M,,Gerente,6030.29,Divorciado
Juliana,M,18.0,Gerente de Vendas,8385.01,Divorciado
Gabriel,F,19.0,Analista de Sistemas,16228.13,Solteiro
Marcia,M,18.0,Médico,,Viúvo
Ana Paula,F,18.0,Cientista de Dados,14585.22,Solteiro
Fernanda,F,18.0,Analista de Sistemas,16459.21,Casado
Maria,F,18.0,Gerente de Vendas,5745.64,Viúvo
Claudia,M,,Veterinário,9753.29,Divorciado
Carlos,F,,Diretor (CTO),11989.38,Divorciado
Francisca,M,18.0,Gerente,15973.42,Casado
Carla,M,18.0,Gerente de TI,18565.98,Solteiro
Antonio,M,18.0,Programador,21798.69,Solteiro
Ricardo,M,18.0,Diretor Executivo (CEO),13162.71,Divorciado
Fabiana,F,18.0,Consultor,17140.98,Viúvo
Fernanda,F,18.0,Médico,5500.45,Viúvo
Diego,M,,Gerente de TI,8298.23,Casado
Luana,F,19.0,Analista de Sistemas,14167.09,Casado
Leandro,M,18.0,Programador,10706.44,Casado
José,M,19.0,Veterinário,7295.53,Viúvo
Marcelo,F,,Dentista,5902.55,Solteiro
José,F,19.0,Advogado,17153.67,Casado
Francisca,F,19.0,Veterinário,20819.84,Casado
Antonio,M,19.0,Gerente,16616.66,Viúvo
Adriana,F,19.0,Cientista de Dados,17498.19,Viúvo
Jose,M,19.0,Gerente de TI,19017.07,Solteiro
João,F,,Diretor Executivo (CEO),17594.96,Casado
Adriana,M,,Piloto,11831.11,Casado
Thiago,M,18.0,Gerente,15349.22,Solteiro
Renata,M,19.0,Diretor Executivo (CEO),17260.83,Solteiro
Eliane,M,18.0,Gerente de Vendas,8323.07,Viúvo
Luana,M,,Diretor Executivo (CEO),3421.98,Solteiro
Adriana,M,18.0,Veterinário,8550.31,Casado
Pedro,F,19.0,Advogado,14060.95,Solteiro
Fernando,F,19.0,Piloto,14358.99,Casado
Fatima,F,18.0,Dentista,19409.17,Viúvo
Amanda,M,18.0,Gerente,,Casado
Pedro,F,18.0,Cientista de Dados,17656.52,Divorciado
Matheus,M,19.0,Gerente,16177.47,Viúvo
Gustavo,F,18.0,Médico,4926.89,Viúvo
Marcelo,F,18.0,Diretor Executivo (CEO),9229.26,Viúvo
Leonardo,M,,Médico,7676.09,Casado
Juliana,F,18.0,Diretor Executivo (CEO),9279.49,Divorciado
Leonardo,M,19.0,Consultor,18671.4,Casado
Adriana,F,18.0,Consultor,16702.25,Solteiro
Ana Paula,F,19.0,Veterinário,14013.47,Casado
Beatriz,M,18.0,Farmacêutico,6434.17,Casado
Anderson,M,18.0,Engenheiro de Petróleo,19138.34,Divorciado
Gabriel,F,,Veterinário,11942.92,Divorciado
Ana,M,19.0,Diretor (CTO),22610.19,Casado
Renata,M,18.0,Diretor (CTO),16986.65,Divorciado
Joao,M,19.0,Analista de Sistemas,6332.37,Divorciado
Adriana,F,,Arquiteto,19951.92,Solteiro
Sandra,M,18.0,Analista de Sistemas,19143.97,Viúvo
Larissa,F,18.0,Analista de Sistemas,15680.64,Casado
Gustavo,F,18.0,Advogado,16529.43,Casado
Larissa,F,19.0,Diretor Executivo (CEO),17161.75,Divorciado
Leandro,M,,Dentista,18327.6,Casado
Luciana,M,18.0,Piloto,17735.94,Viúvo
João,F,18.0,Diretor (CTO),8657.62,Divorciado
Renata,F,19.0,Cientista de Dados,12041.77,Divorciado
Antonio,F,,Engenheiro,21191.38,Divorciado
Paula,F,19.0,Veterinário,18554.91,Divorciado
Fernanda,F,19.0,Engenheiro,17858.49,Viúvo
Bruna,F,18.0,Diretor Executivo (CEO),5207.66,Viúvo
Anderson,F,19.0,Engenheiro de Petróleo,3799.22,Solteiro
Paula,F,19.0,Engenheiro,17086.41,Solteiro
Francisco,M,18.0,Advogado,21463.46,Solteiro
Ricardo,M,19.0,Gerente,5997.28,Viúvo
Rafael,F,18.0,Gerente de TI,13244.34,Solteiro
Rodrigo,F,18.0,Gerente de Vendas,14248.85,Solteiro
Fernanda,F,19.0,Diretor Executivo (CEO),3440.99,Casado
Lucas,M,18.0,Diretor (CTO),9691.76,Divorciado
Gustavo,M,18.0,Médico,21134.2,Casado
Renata,F,19.0,Farmacêutico,4726.93,Viúvo
Patricia,M,19.0,Piloto,5582.95,Solteiro
Carla,M,19.0,Analista de Sistemas,21108.51,Casado
Eliane,F,19.0,Dentista,17183.96,Divorciado
Mariana,M,,Engenheiro de Petróleo,7082.83,Casado
Larissa,F,,Piloto,,Viúvo
Matheus,M,18.0,Médico,19480.49,Divorciado
Carlos,F,19.0,Engenheiro de Petróleo,5045.32,Viúvo
Raquel,M,,Programador,16865.16,Viúvo
Bruno,F,18.0,Farmacêutico,7605.09,Casado
Francisca,F,18.0,Arquiteto,18758.11,Viúvo
Felipe,M,18.0,Analista de Sistemas,8959.92,Viúvo
Fatima,M,18.0,Arquiteto,18296.5,Divorciado
Fernanda,M,19.0,Gerente de TI,12481.4,Casado
Carlos,F,18.0,Piloto,6090.84,Viúvo
Carla,F,18.0,Farmacêutico,15431.6,Casado
Gabriela,M,19.0,Advogado,22958.77,Divorciado
Pedro,F,19.0,Diretor Executivo (CEO),21664.94,Viúvo
Matheus,M,,Diretor (CTO),3865.28,Casado
Fatima,F,19.0,Analista de Sistemas,12266.73,Casado
Matheus,F,19.0,Farmacêutico,16781.93,Solteiro
Paulo,F,19.0,Consultor,17970.65,Divorciado
Larissa,F,19.0,Gerente de TI,17663.46,Viúvo
Marcelo,F,18.0,Arquiteto,13090.5,Divorciado
Ana Paula,M,19.0,Programador,21546.43,Divorciado
Marcia,F,18.0,Arquiteto,17652.82,Solteiro
Fatima,F,19.0,Analista de Sistemas,18374.37,Solteiro
Vanessa,F,19.0,Piloto,10157.25,Viúvo
Claudia,M,18.0,Arquiteto,17653.65,Divorciado
Joao,F,18.0,Veterinário,4421.08,Solteiro
Thiago,F,19.0,Engenheiro,13721.9,Divorciado
Rafael,M,18.0,Farmacêutico,18888.02,Casado
Carlos,F,19.0,Gerente de TI,4310.12,Solteiro
Bruna,F,18.0,Veterinário,16858.42,Casado
Bruno,F,19.0,Gerente,9033.3,Viúvo
Amanda,M,19.0,Veterinário,3041.43,Divorciado
Leandro,F,19.0,Analista de Sistemas,10581.06,Casado
Luana,M,19.0,Engenheiro de Petróleo,22701.8,Divorciado
Ricardo,M,,Arquiteto,12683.93,Viúvo
Carla,M,19.0,Piloto,11958.6,Divorciado
Carla,F,18.0,Dentista,16027.87,Divorciado
Carlos,M,,Programador,6148.75,Solteiro
Maria,F,18.0,Consultor,14061.6,Casado
Renata,F,19.0,Gerente de TI,15976.63,Casado
Camila,F,18.0,Engenheiro de Petróleo,3666.55,Viúvo
Marcia,F,19.0,Cientista de Dados,15129.92,Solteiro
Joao,F,18.0,Gerente,22247.66,Solteiro
Anderson,F,19.0,Piloto,20557.64,Divorciado
Jessica,M,18.0,Gerente,18939.8,Casado
Luana,F,19.0,Diretor (CTO),7824.39,Viúvo
Vanessa,M,,Gerente de TI,14223.67,Divorciado
Luana,F,19.0,Gerente de TI,19222.09,Divorciado
Gustavo,M,19.0,Veterinário,3888.81,Viúvo
Beatriz,F,19.0,Veterinário,17450.69,Divorciado
Paula,M,19.0,Veterinário,6672.5,Casado
Francisco,M,18.0,Cientista de Dados,22771.22,Casado
Gabriel,F,18.0,Consultor,3803.37,Viúvo
José,M,18.0,Arquiteto,14476.72,Viúvo
Daniel,M,18.0,Farmacêutico,6529.26,Viúvo
Bruno,M,19.0,Farmacêutico,9512.64,Viúvo
Marcia,M,18.0,Programador,12856.18,Casado
Raquel,F,,Gerente de Vendas,13417.03,Solteiro
Larissa,F,19.0,Diretor (CTO),15915.81,Divorciado
Claudia,M,,Gerente,19109.05,Casado
Luiz,M,18.0,Consultor,6805.35,Viúvo
Leonardo,F,18.0,Cientista de Dados,11818.7,Casado
Maria,F,19.0,Programador,11015.73,Casado
Gustavo,F,19.0,Gerente,15348.07,Divorciado
Eduardo,F,,Diretor Executivo (CEO),7502.32,Divorciado
João,F,19.0,Farmacêutico,3365.4,Casado
Adriana,F,,Diretor Executivo (CEO),5835.57,Viúvo
Sandra,F,18.0,Gerente,10159.14,Solteiro
Gabriel,F,19.0,Advogado,19851.84,Viúvo
Lucas,M,18.0,Analista de Sistemas,3836.99,Divorciado
Francisca,F,18.0,Arquiteto,18081.57,Viúvo
Luciana,F,,Gerente de TI,14653.07,Solteiro
Patricia,M,19.0,Programador,6721.82,Divorciado
José,F,18.0,Médico,13128.02,Divorciado
Ana Paula,F,19.0,Diretor Executivo (CEO),4864.25,Solteiro
Marcia,F,19.0,Piloto,21106.3,Viúvo
Luana,F,,Médico,,Solteiro
Paula,M,,Veterinário,8126.6,Solteiro
Luana,M,18.0,Diretor Executivo (CEO),8597.41,Viúvo
Diego,M,,Cientista de Dados,16811.93,Solteiro
Rodrigo,M,,Diretor Executivo (CEO),17806.11,Divorciado
Fatima,F,,Advogado,16371.59,Solteiro
Jose,F,18.0,Veterinário,10668.6,Viúvo
Raquel,F,18.0,Consultor,13021.41,Casado
Gabriela,F,,Consultor,21629.03,Viúvo
Mariana,M,18.0,Piloto,16658.65,Viúvo
José,F,,Advogado,16012.04,Casado
Jessica,F,,Engenheiro,5648.13,Solteiro
Juliana,M,19.0,Farmacêutico,20620.26,Viúvo
Maria,M,18.0,Programador,3274.23,Divorciado
João,M,,Analista de Sistemas,20403.44,Solteiro
Fabiana,F,19.0,Gerente de Vendas,14338.07,Solteiro
Marcia,M,18.0,Cientista de Dados,4648.38,Casado
Diego,F,,Advogado,6231.86,Viúvo
Eduardo,M,18.0,Dentista,14248.53,Casado
Fernando,M,18.0,Diretor Executivo (CEO),8710.4,Viúvo
Francisco,M,18.0,Programador,22278.63,Viúvo
Eliane,M,18.0,Gerente,15690.59,Divorciado
Bruna,M,,Arquiteto,6218.38,Solteiro
Luana,F,,Engenheiro,9807.66,Divorciado
Diego,M,18.0,Gerente de Vendas,11654.43,Casado
Claudia,F,19.0,Diretor Executivo (CEO),8730.48,Divorciado
Fatima,F,19.0,Farmacêutico,13722.26,Solteiro
Jose,M,18.0,Engenheiro de Petróleo,20711.06,Divorciado
Carlos,F,19.0,Engenheiro,17415.09,Divorciado
Rafael,M,,Gerente,14302.24,Divorciado
Rodrigo,F,19.0,Diretor (CTO),14644.22,Viúvo
Patricia,F,18.0,Engenheiro de Petróleo,7459.41,Divorciado
Ana,F,,Farmacêutico,14065.17,Viúvo
Camila,F,,Arquiteto,,Solteiro
Marcia,M,18.0,Programador,11439.56,Casado
Vanessa,M,19.0,Analista de Sistemas,18114.85,Casado
Renata,M,19.0,Engenheiro de Petróleo,22402.83,Solteiro
Daniel,M,19.0,Gerente de TI,4819.06,Casado
Vanessa,M,18.0,Diretor (CTO),4439.59,Divorciado
Carla,F,18.0,Gerente de TI,8268.33,Solteiro
Vanessa,F,19.0,Consultor,14760.94,Divorciado
Felipe,F,19.0,Programador,4151.92,Divorciado
Marcia,F,18.0,Gerente de Vendas,21702.03,Solteiro
Renata,F,19.0,Médico,15575.84,Viúvo
Adriana,M,,Gerente de Vendas,13784.95,Viúvo
Fernanda,F,18.0,Advogado,10702.7,Viúvo
Luana,F,18.0,Gerente de Vendas,13594.6,Casado
Maria,F,18.0,Programador,19112.59,Casado
Renata,M,18.0,Engenheiro,8891.93,Casado
Daniel,M,19.0,Gerente de Vendas,11913.73,Viúvo
Eliane,F,19.0,Diretor (CTO),19367.64,Solteiro
Guilherme,F,19.0,Cientista de Dados,10921.09,Divorciado
Bruna,F,19.0,Cientista de Dados,19273.66,Casado
José,M,18.0,Médico,19232.0,Divorciado
Eduardo,M,,Arquiteto,14672.92,Solteiro
Marcos,F,19.0,Veterinário,21582.98,Viúvo
Bruna,F,19.0,Gerente,13974.63,Solteiro
Bruna,M,19.0,Advogado,11490.78,Solteiro
Gabriel,F,19.0,Diretor (CTO),4593.5,Viúvo
Daniel,F,18.0,Piloto,6449.29,Casado
